,intercept,slope,intercept_20,slope_20,name,rank
0,3.448412442628806,-0.5396069990168916,3.5463443827464336,-0.5305958922795674,baseline,0
0,2.7098233818436412,-0.5752307856645663,2.499160953531762,-0.5350782632979563,ML_95,95
0,0.04351820639165638,-1.2186016555884198,0.04351820639165638,-1.2186016555884198,ML_LMP_95,95
0,6.556082745214868,-5.017048366007923,6.556082745214868,-5.017048366007923,Spectral_95,95
0,2.7967883026848925,-0.33325731988765817,2.581052297405956,-0.31534264807425466,ML_50,50
0,-0.4707990323824607,-0.4682297673036107,2.5296408163268884,-0.7215452470844901,ML_LMP_50,50
0,3.785164770774184,-1.2247953734138772,3.943245820211004,-1.2497555391144277,Spectral_50,50
